Date,Symbol,Open,High,Low,Close,Volume
2015-01-01,NIFTY50,8276.55,8372.43,8239.97,8361.24,484075236
2015-01-02,NIFTY50,8345.51,8356.46,8185.25,8210.14,193926936
2015-01-05,NIFTY50,8216.75,8237.44,8173.98,8196.07,304481874
2015-01-06,NIFTY50,8206.1,8284.91,8189.35,8250.35,248933898
2015-01-07,NIFTY50,8237.22,8284.54,8219.48,8265.7,340884181
2015-01-08,NIFTY50,8273.29,8323.82,8224.99,8297.13,366656071
2015-01-09,NIFTY50,8301.4,8345.5,8235.34,8253.25,266627556
2015-01-12,NIFTY50,8244.26,8334.32,8240.32,8319.87,297177355
2015-01-13,NIFTY50,8318.32,8359.95,8284.65,8292.75,351843557
2015-01-14,NIFTY50,8307.23,8339.53,8251.38,8281.65,245116583
2015-01-15,NIFTY50,8280.4,8301.67,8234.42,8288.25,452587903
2015-01-16,NIFTY50,8297.14,8299.93,8189.71,8230.29,341690609
2015-01-19,NIFTY50,8243.89,8359.01,8208.38,8330.66,296367940
2015-01-20,NIFTY50,8344.47,8367.45,8263.6,8276.75,300681791
2015-01-21,NIFTY50,8284.93,8306.23,8193.16,8221.94,367147840
2015-01-22,NIFTY50,8222.26,8366.25,8219.93,8361.69,244367960
2015-01-23,NIFTY50,8367.73,8478.2,8348.41,8447.97,442686692
2015-01-26,NIFTY50,8460.16,8541.42,8423.57,8540.83,486462199
2015-01-27,NIFTY50,8535.37,8566.89,8527.27,8551.83,153697460
2015-01-28,NIFTY50,8543.74,8599.19,8534.58,8573.44,212362644
2015-01-29,NIFTY50,8578.21,8609.55,8556.59,8564.45,239215283
2015-01-30,NIFTY50,8565.49,8584.5,8548.83,8584.47,164208675
2015-02-02,NIFTY50,8601.14,8642.77,8464.91,8477.09,314257403
2015-02-03,NIFTY50,8463.04,8544.56,8459.52,8519.72,457921336
2015-02-04,NIFTY50,8518.88,8592.71,8505.33,8564.46,396976570
2015-02-05,NIFTY50,8573.2,8623.63,8536.53,8588.08,374252971
2015-02-06,NIFTY50,8585.96,8613.88,8579.72,8587.21,270907459
2015-02-09,NIFTY50,8589.07,8811.68,8588.69,8780.67,222522041
2015-02-10,NIFTY50,8793.31,8907.09,8780.75,8903.31,467950777
2015-02-11,NIFTY50,8918.82,9038.23,8893.52,9007.37,451135332
2015-02-12,NIFTY50,8992.84,9055.25,8969.99,9031.89,411640076
2015-02-13,NIFTY50,9037.43,9114.91,9034.14,9079.71,349750222
2015-02-16,NIFTY50,9068.51,9157.66,9060.88,9128.29,261805638
2015-02-17,NIFTY50,9143.75,9168.06,9085.37,9132.57,447540477
2015-02-18,NIFTY50,9134.05,9134.86,9023.74,9028.79,308371339
2015-02-19,NIFTY50,9018.45,9040.15,8867.93,8871.05,415213307
2015-02-20,NIFTY50,8886.18,8928.04,8632.19,8646.99,561620423
