Feature,Linear_Coef_Magnitude,Normalized_Linear_Importance,Permutation_Mean_F1,Permutation_Std,Mean_Abs_SHAP,Rank
volatility_63d,1.5006057600552154,0.31187955531759165,-0.21239388423533132,0.02819625850085854,0.5947085587591221,1
volatility_21d,1.138444260756777,0.23660944083382934,0.08054393224707836,0.022550010863246324,0.3740376532900663,2
drawdown_63d,0.6952350609865889,0.1444947150234301,-0.012025260169343766,0.025052544496510253,0.4942084662121649,3
volatility_ratio,0.4637088184956202,0.09637527987626707,-0.04231563252897546,0.020385048507486018,0.31691620228161094,4
sma_ratio_21_63,0.3712435702047033,0.07715769369411035,-0.03357965606405159,0.018520810151639106,0.29536714483946,5
rsi_14,0.3168993459530118,0.06586301993977706,0.00575052083926724,0.018710036678449057,0.39047087567634536,6
return_21d,0.1680731380362248,0.034931610251610144,-0.01535540713003815,0.016426770761285393,0.22816834931116423,7
return_1d,0.06346003924726935,0.0131892661935051,0.0014616297545279302,0.010276617073641218,0.054752711125904366,8
return_5d,0.05319110076612262,0.011055013445490923,-0.006308713155785728,0.01862723416873714,0.049576178947443095,9
volume_ratio_21d,0.04063018304349802,0.00844440542438825,-0.017476397695842184,0.011412680574890685,0.03651501504158044,10
