date,predicted_tier,regime_name,feature,feature_scaled_value,shap_attribution
2023-03-10,0,Drawdown Risk / Underperforming,return_1d,0.7034,0.0892
2023-03-10,0,Drawdown Risk / Underperforming,return_5d,2.1369,0.1728
2023-03-10,0,Drawdown Risk / Underperforming,return_21d,1.1979,-0.0688
2023-03-10,0,Drawdown Risk / Underperforming,volatility_21d,-0.3531,-0.5406
2023-03-10,0,Drawdown Risk / Underperforming,volatility_63d,-0.4788,0.8366
2023-03-10,0,Drawdown Risk / Underperforming,volatility_ratio,0.2582,-0.1265
2023-03-10,0,Drawdown Risk / Underperforming,sma_ratio_21_63,0.1674,0.0903
2023-03-10,0,Drawdown Risk / Underperforming,rsi_14,2.1525,0.6996
2023-03-10,0,Drawdown Risk / Underperforming,drawdown_63d,0.6906,-0.7327
2023-03-10,0,Drawdown Risk / Underperforming,volume_ratio_21d,1.0291,0.0309
2023-01-02,1,Neutral / Stable,return_1d,0.0126,-0.0147
2023-01-02,1,Neutral / Stable,return_5d,-1.0713,0.0681
2023-01-02,1,Neutral / Stable,return_21d,-0.4871,0.0853
2023-01-02,1,Neutral / Stable,volatility_21d,-0.3885,0.337
2023-01-02,1,Neutral / Stable,volatility_63d,-0.6738,-0.5037
2023-01-02,1,Neutral / Stable,volatility_ratio,0.8778,0.1658
2023-01-02,1,Neutral / Stable,sma_ratio_21_63,-0.125,0.0102
2023-01-02,1,Neutral / Stable,rsi_14,-0.0232,0.0097
2023-01-02,1,Neutral / Stable,drawdown_63d,0.2928,0.0686
2023-01-02,1,Neutral / Stable,volume_ratio_21d,-1.528,0.0948
2023-01-12,2,Favorable / Outperforming,return_1d,-0.2786,0.0016
2023-01-12,2,Favorable / Outperforming,return_5d,0.0278,0.0016
2023-01-12,2,Favorable / Outperforming,return_21d,0.1617,0.0546
2023-01-12,2,Favorable / Outperforming,volatility_21d,-0.3706,0.2507
2023-01-12,2,Favorable / Outperforming,volatility_63d,-0.6713,-0.7685
2023-01-12,2,Favorable / Outperforming,volatility_ratio,0.9417,0.4229
2023-01-12,2,Favorable / Outperforming,sma_ratio_21_63,-0.14,0.0695
2023-01-12,2,Favorable / Outperforming,rsi_14,-0.6676,0.2779
2023-01-12,2,Favorable / Outperforming,drawdown_63d,0.3936,0.3316
2023-01-12,2,Favorable / Outperforming,volume_ratio_21d,-0.4132,-0.0133
