Feature,Importance,Normalized_Importance
volatility_21d,0.23877741244599954,0.23877741244599954
sma_ratio_21_63,0.1720338124308759,0.1720338124308759
volatility_63d,0.17082899087712633,0.17082899087712633
volatility_ratio,0.12571444850793664,0.12571444850793664
return_21d,0.10847058988994035,0.10847058988994035
drawdown_63d,0.07141195052284283,0.07141195052284283
rsi_14,0.059700538304341765,0.059700538304341765
return_5d,0.03349700591585789,0.03349700591585789
return_1d,0.01074973368410939,0.01074973368410939
volume_ratio_21d,0.008815517420969383,0.008815517420969383
